aggregated_time;light_value;is_anomaly
2020-09-03 10:05:00.000;43,605;False
2020-09-03 10:04:00.000;43,85;False
2020-09-03 10:03:00.000;44,03;False
2020-09-03 10:02:00.000;44,68;False
2020-09-03 10:01:00.000;45,175;False
2020-09-03 10:00:00.000;45,42;False
2020-09-03 09:59:00.000;45,745;False
2020-09-03 09:58:00.000;45,875;False
2020-09-03 09:57:00.000;45,825;False
2020-09-03 09:56:00.000;46,27;False
2020-09-03 09:55:00.000;48,415;False
2020-09-03 09:54:00.000;48,04;False
2020-09-03 09:53:00.000;49,83;True
2020-09-03 09:52:00.000;52,505;True
2020-09-03 09:51:00.000;52,0090909090909;True
2020-09-03 09:50:00.000;49,84;False
2020-09-03 09:49:00.000;47,045;False
2020-09-03 09:48:00.000;47,04;False
2020-09-03 09:47:00.000;48,435;True
2020-09-03 09:46:00.000;51,675;True
2020-09-03 09:45:00.000;50,59;False
2020-09-03 09:44:00.000;45,55;False
2020-09-03 09:43:00.000;45,525;False
2020-09-03 09:42:00.000;45,68;False
2020-09-03 09:41:00.000;44,48;False
2020-09-03 09:40:00.000;43,225;False
2020-09-03 09:39:00.000;43,21;False
2020-09-03 09:38:00.000;43,485;False
2020-09-03 09:37:00.000;42,28;False
2020-09-03 09:36:00.000;43,94;False
2020-09-03 09:35:00.000;42,9;False
2020-09-03 09:34:00.000;42,07;False
2020-09-03 09:33:00.000;42,255;False
2020-09-03 09:32:00.000;42,025;False
2020-09-03 09:31:00.000;41,965;False
2020-09-03 09:30:00.000;42,78;False
2020-09-03 09:29:00.000;42,905;False
2020-09-03 09:28:00.000;43,45;False
2020-09-03 09:27:00.000;43,775;False
2020-09-03 09:26:00.000;44,095;False
2020-09-03 09:25:00.000;44,24;False
2020-09-03 09:24:00.000;44,335;False
2020-09-03 09:23:00.000;45,155;False
2020-09-03 09:22:00.000;46,635;False
2020-09-03 09:21:00.000;48,215;False
2020-09-03 09:20:00.000;50,765;False
2020-09-03 09:19:00.000;52,2;False
2020-09-03 09:18:00.000;49,975;False
2020-09-03 09:17:00.000;46,97;False
2020-09-03 09:16:00.000;46,215;False
2020-09-03 09:15:00.000;46,21;False
2020-09-03 09:14:00.000;47,005;False
2020-09-03 09:13:00.000;48,45;False
2020-09-03 09:12:00.000;47,2;True
2020-09-03 09:11:00.000;50,425;False
2020-09-03 09:10:00.000;49,505;False
2020-09-03 09:09:00.000;49,125;False
2020-09-03 09:08:00.000;45,75;False
2020-09-03 09:07:00.000;44,895;False
2020-09-03 09:06:00.000;43,175;False
2020-09-03 09:05:00.000;42,74;False
2020-09-03 09:04:00.000;42,595;False
2020-09-03 09:03:00.000;43,035;False
2020-09-03 09:02:00.000;43,38;False
2020-09-03 09:01:00.000;42,555;False
2020-09-03 09:00:00.000;41,5;False
2020-09-03 08:59:00.000;41,045;False
2020-09-03 08:58:00.000;41,165;False
2020-09-03 08:57:00.000;41,71;False
2020-09-03 08:56:00.000;41,93;False
2020-09-03 08:55:00.000;42,15;False
2020-09-03 08:54:00.000;42,76;False
2020-09-03 08:53:00.000;43,65;False
2020-09-03 08:52:00.000;45,405;False
2020-09-03 08:51:00.000;44,885;False
2020-09-03 08:50:00.000;43,565;False
2020-09-03 08:49:00.000;44,735;False
2020-09-03 08:48:00.000;47,145;False
2020-09-03 08:47:00.000;47,135;False
2020-09-03 08:46:00.000;45,505;False
2020-09-03 08:45:00.000;45,255;False
2020-09-03 08:44:00.000;44,445;False
2020-09-03 08:43:00.000;43,765;False
2020-09-03 08:42:00.000;44,06;False
2020-09-03 08:41:00.000;44,96;False
2020-09-03 08:40:00.000;47,76;False
2020-09-03 08:39:00.000;48,405;False
2020-09-03 08:38:00.000;48,895;True
2020-09-03 08:37:00.000;48,7145454545454;True
2020-09-03 08:36:00.000;50,285;True
2020-09-03 08:35:00.000;47,4230769230769;False
2020-09-03 08:34:00.000;43,9963636363636;False
2020-09-03 08:33:00.000;41,82;False
2020-09-03 08:32:00.000;41,47;False
2020-09-03 08:31:00.000;41,36;False
2020-09-03 08:30:00.000;41,535;False
2020-09-03 08:29:00.000;41,715;False
2020-09-03 08:28:00.000;43,04;False
2020-09-03 08:27:00.000;45,98;True
2020-09-03 08:26:00.000;49,18;True
2020-09-03 08:25:00.000;50,305;True
2020-09-03 08:24:00.000;48,49;True
2020-09-03 08:23:00.000;46,71;True
2020-09-03 08:22:00.000;49,115;True
2020-09-03 08:21:00.000;50,68;True
